N_CAT	ANO	MÊS	N	TÍTULO	AUTOR	EDITORA	CATEGORIA	VENDAS	ISBN	Num_Pag	url_img
5	2013	3	14	O Segredo	Rhonda Byrne	Ediouro	5	1.591	978-85-00019-53-1	198	https://pictures.abebooks.com/isbn/9788500019531-us.jpg
5	2013	3	15	Como Convencer Alguém Em 90 Segundos	Nicholas Boothman	Universo Dos Livros	5	1.047	978-85-79303-19-7	200	https://www.publishnews.com.br/estaticos/uploads/livro/90segundos.jpg
5	2013	3	16	Por Que Os Homens Amam As Mulheres Poderosas?	Sherry Argov	Sextante	5	968	978-85-75424-88-9	192	https://pictures.abebooks.com/isbn/9788575424889-us.jpg
5	2013	3	17	Mentes Geniais	Alberto Dell'Isolla	Universo Dos Livros	5	848	978-85-79302-76-3	320	https://www.publishnews.com.br/estaticos/uploads/2016/02/svOkrlosVbfUk90bBSX7T8UlxGLhzBiX5HuFYlCpGn0IddcdJBWoLqrXgfJIbRz9ClcHHtT4FRR8kIMg.jpg
5	2013	3	18	O Místico	Ian Mecler	Record	5	703	978-85-01401-94-6	182	https://www.publishnews.com.br/estaticos/uploads/livro/mistico.jpg
5	2013	3	19	A Infância De Jesus	Joseph Ratzinger	Planeta Do Brasil	5	636	978-85-42200-15-7	110	https://www.publishnews.com.br/estaticos/uploads/livro/infancia.jpg
5	2013	3	20	A Arte De Ganhar Dinheiro	Adalberto Tripoli Barbosa	Elsevier	5	618	978-85-35251-69-2	160	https://www.publishnews.com.br/estaticos/uploads/livro/arteganhar.jpg
11	2013	3	1	O Pequeno Príncipe	Antoine Saint-Exupéry	Agir	11	5.059	978-85-22005-23-9	94	https://www.publishnews.com.br/estaticos/uploads/2015/07/UY2y1RdJ4JqUpvpY55PSUhDICVIAr046ge5nK0CGiyMNG8LOYqiZd5nJEWFO1btQmPygvZ4FruOFRpH3.jpg
11	2013	3	2	As Vantagens De Ser Invisível	Stephen Chbosky	Rocco Jovens Leitores	11	4.725	978-85-32522-33-7	224	https://www.publishnews.com.br/estaticos/uploads/livro/invisivel.jpg
11	2013	3	3	Diário De Um Banana - Um Romance Em Quadrinhos	Jeff Kinney	Vr Editora	11	3.631	978-85-76831-30-3	218	https://www.publishnews.com.br/estaticos/uploads/2015/08/rTnVyaccFD4QTVGvguUf4nSMMoQXdE8IULZXXI3XgrJxMXtNaRke5awQCp5qb9SbGybcl9BSJ1XH8pI4.jpg
11	2013	3	4	Diário De Um Banana - Casa Dos Horrores	Jeff Kinney	Vr Editora	11	2.926	978-85-76833-68-0	224	https://www.publishnews.com.br/estaticos/uploads/livro/diariocasahorrores.jpg
11	2013	3	5	O Mágico De Oz	L. Frank Baum	Zahar	11	2.199	978-85-37809-66-2	224	https://www.publishnews.com.br/estaticos/uploads/2020/05/zwu4W04gerevK3Zq6ChVsgiqD0ljaF8xDo1SMPlaQaf13O7FFo2XkK6DOJiz9eMdPf1QwNPFzwSZ2tAZ.png
11	2013	3	6	Diário De Um Banana - Rodrick É O Cara	Jeff Kinney	Vr Editora	11	2.153	978-85-76831-95-2	224	https://www.publishnews.com.br/estaticos/uploads/livro/20100920114930377-494435350.jpg
11	2013	3	7	Diário De Um Banana - Dias De Cão	Jeff Kinney	Vr Editora	11	2.011	978-85-76832-76-8	218	https://www.publishnews.com.br/estaticos/uploads/livro/diario%20de%20um%20banana%204.jpg
11	2013	3	8	O Ladrão De Raios	Rick Riordan	Intrínseca	11	2.001	978-85-98078-39-7	400	https://www.publishnews.com.br/estaticos/uploads/livro/20100920111022770-1274342636.jpg
11	2013	3	9	Diário De Um Banana - A Gota D'Água	Jeff Kinney	Vr Editora	11	1.998	978-85-76832-29-4	218	https://www.publishnews.com.br/estaticos/uploads/livro/20100920112631394586236738.jpg
11	2013	3	10	Jogos Vorazes	Suzanne Collins	Rocco Jovens Leitores	11	1.947	978-85-79800-24-5	400	https://www.publishnews.com.br/estaticos/uploads/livro/jogosvorazes.jpg
11	2013	3	11	Diário De Um Banana - Faça Você Mesmo	Jeff Kinney	Vr Editora	11	1.619	978-85-76832-58-4	218	https://www.publishnews.com.br/estaticos/uploads/2015/07/nSoYW7jC2SdIT1K2MbNxpqdPVe7JcGMKYDpefYtzXqYszqYtlAUM5xKW0ydi65pONUrVckiYOnYWumtt.jpg
11	2013	3	12	Em Chamas	Suzanne Collins	Rocco Jovens Leitores	11	1.601	978-85-79800-64-1	416	https://www.publishnews.com.br/estaticos/uploads/livro/EM-CHAMAS.JPG
